City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
582,Viedma,AR,-40.8135,-62.9967,58.51,44,1,8.28,clear sky
583,Pocao De Pedras,BR,-4.6667,-44.85,72.77,98,100,2.04,light rain
584,Aripuana,BR,-9.1667,-60.6333,72.55,97,97,2.37,light rain
585,Kidal,ML,18.4411,1.4078,63.1,16,57,7.38,broken clouds
586,Hami,CN,42.8,93.45,29.35,69,100,6.89,overcast clouds
587,Hvittingfoss,NO,59.4833,10.0167,38.7,48,100,11.01,overcast clouds
588,Irbeyskoye,RU,55.6428,95.4522,-10.79,97,89,1.54,overcast clouds
589,Formosa,AR,-26.1775,-58.1781,73.38,88,100,10.36,light rain
590,Balud,PH,10.1476,123.6953,84.16,71,81,7.94,broken clouds
591,Coffs Harbour,AU,-30.3,153.1333,76.96,71,75,21.85,broken clouds
592,Nipawin,CA,53.3668,-104.0009,-7.56,77,100,11.5,overcast clouds
593,Tanabe,JP,33.7333,135.3667,54.61,31,75,6.91,broken clouds
594,Buala,SB,-8.145,159.5921,77.54,90,100,7.65,light rain
595,Soja,JP,34.6667,133.75,53.69,48,75,5.75,broken clouds
596,Acari,PE,-15.4311,-74.6158,72.05,80,51,2.77,broken clouds
597,Nuuk,GL,64.1835,-51.7216,34.41,75,100,10.36,light snow
598,Brawley,US,32.9787,-115.5303,78.1,26,0,0.0,clear sky
599,Luanda,AO,-8.8368,13.2343,74.55,86,83,6.69,broken clouds
600,Manga,BF,11.6636,-1.0731,71.31,13,5,7.02,clear sky
601,Sakakah,SA,29.9697,40.2064,42.37,63,0,7.56,clear sky
602,Poum,NC,-20.2333,164.0167,81.61,76,84,8.97,broken clouds
603,Dicabisagan,PH,17.0818,122.4157,76.57,84,88,5.97,overcast clouds
604,Syracuse,IT,37.0881,15.2792,47.89,70,100,4.0,overcast clouds
605,Orlovskiy,RU,46.8714,42.0592,36.93,89,84,12.86,broken clouds
606,Dongsheng,CN,39.8161,109.9776,24.57,43,100,9.04,overcast clouds
607,Jaisalmer,IN,26.9147,70.9181,67.8,20,0,8.77,clear sky
608,Palauig,PH,15.435,119.9045,84.27,57,74,7.31,broken clouds
609,Whitianga,NZ,-36.8333,175.7,75.97,92,70,10.36,broken clouds
610,Bela,IN,25.9333,81.9833,61.74,44,0,8.7,clear sky
611,Lebanon,US,36.2081,-86.2911,62.65,41,100,6.91,overcast clouds
612,Cordoba,AR,-31.4135,-64.1811,60.42,99,100,14.97,light intensity drizzle
613,Nizhneangarsk,RU,55.7833,109.55,-10.41,77,17,2.93,few clouds
614,Aquiraz,BR,-3.9014,-38.3911,80.69,87,72,8.1,broken clouds
615,Bilibino,RU,68.0546,166.4372,-31.56,100,62,1.16,broken clouds
616,Oussouye,SN,12.485,-16.5469,75.29,19,3,7.63,clear sky
617,Celestun,MX,20.8667,-90.4,72.86,80,100,11.54,overcast clouds
618,Haines Junction,CA,60.7522,-137.5108,24.75,80,100,2.3,overcast clouds
619,Coquimbo,CL,-29.9533,-71.3436,64.13,82,0,3.44,clear sky
620,Makakilo City,US,21.3469,-158.0858,77.32,59,0,8.05,clear sky
621,Channel-Port Aux Basques,CA,47.5702,-59.1367,27.28,85,81,1.43,broken clouds
622,Miandrivazo,MG,-19.5167,45.4667,79.52,81,43,0.74,scattered clouds
623,Lobito,AO,-12.3481,13.5456,74.59,74,100,2.89,overcast clouds
624,Fairbanks,US,64.8378,-147.7164,1.98,78,75,6.91,broken clouds
625,Qasigiannguit,GL,68.8193,-51.1922,30.45,96,100,1.72,overcast clouds
626,Osypenko,UA,46.9136,36.8253,37.83,95,92,8.77,overcast clouds
627,Nioro,GM,13.35,-15.75,74.82,13,16,11.41,few clouds
628,Saint George,US,37.1041,-113.5841,63.19,23,0,21.85,clear sky
629,Otane,NZ,-39.8833,176.6333,79.86,77,93,7.05,overcast clouds
630,Lorengau,PG,-2.0226,147.2712,83.25,72,99,1.1,overcast clouds
631,Lae,PG,-6.7221,146.9847,84.54,62,100,7.83,overcast clouds
632,Sudbury,CA,46.49,-80.99,31.06,87,97,14.2,overcast clouds
633,Malanje,AO,-9.5402,16.341,62.74,70,100,2.13,overcast clouds
634,Jamkhandi,IN,16.5167,75.3,76.14,49,27,12.82,scattered clouds
635,Kuala Terengganu,MY,5.3302,103.1408,80.55,83,40,2.3,scattered clouds
636,Egvekinot,RU,66.3167,-179.1667,-20.76,87,10,8.55,clear sky
637,Langsa,ID,4.4683,97.9683,76.28,87,100,1.74,overcast clouds
638,Yanam,IN,16.7333,82.2167,75.6,58,87,5.08,overcast clouds
